"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 06 08:00:44 GMT 2022","Sat Aug 06 08:00:44 GMT 2022","71","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUserFail","checkingGetUserFail",""
"passed","Sat Aug 06 08:00:44 GMT 2022","Sat Aug 06 08:00:45 GMT 2022","402","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","checkingCreateUser","checkingCreateUser",""
"passed","Sat Aug 06 08:00:45 GMT 2022","Sat Aug 06 08:00:45 GMT 2022","409","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUser","failCreateUser",""
"passed","Sat Aug 06 08:00:41 GMT 2022","Sat Aug 06 08:00:44 GMT 2022","3022","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUser","checkingGetUser",""
"passed","Sat Aug 06 08:00:44 GMT 2022","Sat Aug 06 08:00:44 GMT 2022","91","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUsers","checkingGetUsers",""
