"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 06 09:41:55 GMT 2022","Sat Aug 06 09:41:55 GMT 2022","410","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUser","failCreateUser",""
"passed","Sat Aug 06 09:41:51 GMT 2022","Sat Aug 06 09:41:54 GMT 2022","3191","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUser","checkingGetUser",""
"passed","Sat Aug 06 09:41:54 GMT 2022","Sat Aug 06 09:41:54 GMT 2022","274","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUserFail","checkingGetUserFail",""
"passed","Sat Aug 06 09:41:54 GMT 2022","Sat Aug 06 09:41:55 GMT 2022","293","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUsers","checkingGetUsers",""
"passed","Sat Aug 06 09:41:55 GMT 2022","Sat Aug 06 09:41:55 GMT 2022","413","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","checkingCreateUser","checkingCreateUser",""
