"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 06 10:19:41 GMT 2022","Sat Aug 06 10:19:42 GMT 2022","658","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUser","failCreateUser",""
"passed","Sat Aug 06 10:19:41 GMT 2022","Sat Aug 06 10:19:41 GMT 2022","608","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","checkingCreateUser","checkingCreateUser",""
"passed","Sat Aug 06 10:19:40 GMT 2022","Sat Aug 06 10:19:41 GMT 2022","535","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUsers","checkingGetUsers",""
"passed","Sat Aug 06 10:19:36 GMT 2022","Sat Aug 06 10:19:39 GMT 2022","3721","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUser","checkingGetUser",""
"passed","Sat Aug 06 10:19:40 GMT 2022","Sat Aug 06 10:19:40 GMT 2022","483","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUserFail","checkingGetUserFail",""
